Pair,Probability,Code
", ",16826/770604,000000
о ,12632/770604,000001
 п,11048/770604,000010
е ,10582/770604,000011
и ,10453/770604,000100
 н,10401/770604,000101
 в,10213/770604,000110
 с,10193/770604,000111
то,9533/770604,001000
ст,7496/770604,0010010
ко,7454/770604,0010011
а ,7439/770604,0010100
 и,7096/770604,0010101
но,6605/770604,0010110
по,6544/770604,0010111
не,6538/770604,0011000
 к,6433/770604,0011001
ов,6257/770604,0011010
на,6207/770604,0011011
ка,6153/770604,0011100
 о,6145/770604,0011101
го,5840/770604,0011110
 д,5571/770604,0011111
 т,5569/770604,0100000
ь ,5353/770604,0100001
ни,5246/770604,0100010
 б,5219/770604,0100011
ро,5117/770604,0100100
ак,5076/770604,0100101
ал,4964/770604,0100110
пр,4847/770604,01001110
я ,4839/770604,01001111
ен,4680/770604,0101000
ра,4645/770604,0101001
ть,4578/770604,0101010
во,4550/770604,01010110
от,4476/770604,01010111
ли,4462/770604,0101100
ло,4446/770604,01011010
ел,4410/770604,01011011
ос,4280/770604,0101110
ор,4265/770604,01011110
 ч,4142/770604,01011111
ре,4102/770604,0110000
та,4010/770604,01100010
м ,3937/770604,01100011
те,3934/770604,0110010
ер,3905/770604,01100110
ол,3874/770604,01100111
ва,3868/770604,0110100
л ,3836/770604,01101010
в ,3767/770604,01101011
ет,3762/770604,01101100
. ,3749/770604,01101101
ве,3744/770604,01101110
ом,3690/770604,01101111
й ,3684/770604,0111000
за,3621/770604,01110010
од,3579/770604,01110011
ри,3508/770604,01110100
де,3492/770604,01110101
ат,3444/770604,01110110
да,3343/770604,01110111
ес,3288/770604,0111100
 м,3262/770604,01111010
он,3230/770604,01111011
ог,3204/770604,01111100
ил,3173/770604,01111101
ла,3141/770604,01111110
бы,3116/770604,01111111
у ,3102/770604,10000000
к ,3054/770604,10000001
т ,2929/770604,10000010
 з,2900/770604,10000011
же,2894/770604,10000100
ся,2890/770604,10000101
ль,2881/770604,10000110
ем,2854/770604,10000111
ит,2840/770604,10001000
 у,2837/770604,10001001
об,2763/770604,10001010
 г,2727/770604,10001011
ск,2723/770604,10001100
се,2719/770604,10001101
ме,2676/770604,10001110
аз,2659/770604,100011110
чт,2611/770604,100011111
 р,2601/770604,10010000
ан,2595/770604,10010001
ле,2541/770604,10010010
ам,2527/770604,100100110
"

",2488/770604,100100111
ки,2445/770604,10010100
че,2439/770604,10010101
ик,2435/770604,10010110
ы ,2330/770604,100101110
ны,2329/770604,100101111
ин,2304/770604,10011000
ой,2273/770604,10011001
ти,2264/770604,10011010
ас,2264/770604,100110110
до,2263/770604,100110111
ав,2250/770604,10011100
— ,2242/770604,10011101
 е,2240/770604,10011110
ед,2181/770604,100111110
х ,2168/770604,100111111
ми,2129/770604,10100000
ви,2123/770604,101000010
вс,2104/770604,101000011
ег,2071/770604,10100010
чи,2030/770604,101000110
ру,2001/770604,101000111
ич,1948/770604,10100100
сь,1931/770604,101001010
сл,1927/770604,101001011
мо,1924/770604,10100110
нн,1920/770604,101001110
