Pair,Probability,Code
37,2/770604,1110111101110100011
38,2/770604,1110111101110100100
39,2/770604,1110111101110100101
3;,4/770604,111011110111010011
40,2/770604,1110111101110101000
43,2/770604,1110111101110101001
44,2/770604,1110111101110101010
46,2/770604,1110111101110101011
47,2/770604,1110111101110101100
48,2/770604,1110111101110101101
49,2/770604,1110111101110101110
4;,2/770604,1110111101110101111
5),2/770604,1110111101110110000
50,2/770604,1110111101110110001
51,2/770604,1110111101110110010
55,2/770604,1110111101110110011
57,2/770604,1110111101110110100
"6,",2/770604,1110111101110110101
66,4/770604,111011110111011011
68,1/770604,11101111011101110000
8!,1/770604,11101111011101110001
7.,2/770604,1110111101110111001
85,4/770604,111011110111011101
::,1/770604,11101111011101111000
";,",1/770604,11101111011101111001
;),2/770604,1110111101110111101
;[,2/770604,1110111101110111110
;r,2/770604,1110111101110111111
;t,2/770604,1110111101111000000
; ,1/770604,11101111011110000010
<К,1/770604,11101111011110000011
;к,4/770604,111011110111100001
;л,2/770604,1110111101111000100
<М,1/770604,11101111011110001010
<О,1/770604,11101111011110001011
<П,2/770604,1110111101111000110
<Х,1/770604,11101111011110001110
<е,1/770604,11101111011110001111
<Ч,4/770604,111011110111100100
<г,4/770604,111011110111100101
<и,4/770604,111011110111100110
<л,2/770604,1110111101111001110
<х,1/770604,11101111011110011110
<ш,1/770604,11101111011110011111
<к,8/770604,11101111011110100
<р,4/770604,111011110111101010
<ч,4/770604,111011110111101011
<я,1/770604,11101111011110110000
">
",1/770604,11101111011110110001
>!,2/770604,1110111101111011001
>:,2/770604,1110111101111011010
>;,1/770604,11101111011110110110
>к,1/770604,11101111011110110111
>?,2/770604,1110111101111011100
?!,2/770604,1110111101111011101
?[,1/770604,11101111011110111100
N ,1/770604,11101111011110111101
N3,1/770604,11101111011110111110
NN,1/770604,11101111011110111111
Ro,1/770604,11101111011111000000
[6,1/770604,11101111011111000001
[7,1/770604,11101111011111000010
[8,1/770604,11101111011111000011
[9,1/770604,11101111011111000100
[в,1/770604,11101111011111000101
[р,1/770604,11101111011111000110
] ,1/770604,11101111011111000111
_d,1/770604,11101111011111001000
a-,1/770604,11101111011111001001
_n,2/770604,1110111101111100101
ag,2/770604,1110111101111100110
am,1/770604,11101111011111001110
au,1/770604,11101111011111001111
al,4/770604,111011110111110100
ap,2/770604,1110111101111101010
ay,2/770604,1110111101111101011
b.,4/770604,111011110111110110
be,2/770604,1110111101111101110
ce,2/770604,1110111101111101111
cr,1/770604,11101111011111100000
du,1/770604,11101111011111100001
di,2/770604,1110111101111110001
e),4/770604,111011110111111001
"e,",1/770604,11101111011111101000
e-,1/770604,11101111011111101001
e.,1/770604,11101111011111101010
e_,1/770604,11101111011111101011
el,4/770604,111011110111111011
em,2/770604,1110111101111111000
en,2/770604,1110111101111111001
er,1/770604,11101111011111110100
gr,1/770604,11101111011111110101
eu,2/770604,1110111101111111011
fe,2/770604,1110111101111111100
ge,2/770604,1110111101111111101
go,4/770604,111011110111111111
i.,1/770604,11101111100000000000
ip,1/770604,11101111100000000001
ik,2/770604,1110111110000000001
ib,4/770604,111011111000000001
in,2/770604,1110111110000000100
is,2/770604,1110111110000000101
it,2/770604,1110111110000000110
ko,2/770604,1110111110000000111
"l
",2/770604,1110111110000001000
l_,2/770604,1110111110000001001
la,2/770604,1110111110000001010
m&,2/770604,1110111110000001011
le,4/770604,111011111000000110
li,4/770604,111011111000000111
ll,8/770604,11101111100000100
m[,1/770604,11101111100000101000
no,1/770604,11101111100000101001
ml,2/770604,1110111110000010101
me,4/770604,111011111000001011
n ,4/770604,111011111000001100
nc,2/770604,1110111110000011010
ni,2/770604,1110111110000011011
nt,1/770604,11101111100000111000
ot,1/770604,11101111100000111001
od,2/770604,1110111110000011101
og,2/770604,1110111110000011110
os,2/770604,1110111110000011111
ol,4/770604,111011111000010000
oy,4/770604,111011111000010001
pe,2/770604,1110111110000100100
po,1/770604,11101111100001001010
pt,1/770604,11101111100001001011
pp,2/770604,1110111110000100110
qu,2/770604,1110111110000100111
r),2/770604,1110111110000101000
r/,1/770604,11101111100001010010
rt,1/770604,11101111100001010011
ra,2/770604,1110111110000101010
rr,2/770604,1110111110000101011
ro,4/770604,111011111000010110
ru,4/770604,111011111000010111
"s
",1/770604,11101111100001100000
s.,1/770604,11101111100001100001
s),2/770604,1110111110000110001
sc,1/770604,11101111100001100100
sh,1/770604,11101111100001100101
t/,1/770604,11101111100001100110
th,1/770604,11101111100001100111
t&,4/770604,111011111000011010
tm,2/770604,1110111110000110110
to,2/770604,1110111110000110111
ts,1/770604,11101111100001110000
tu,1/770604,11101111100001110001
tv,1/770604,11101111100001110010
"u
",1/770604,11101111100001110011
u/,2/770604,1110111110000111010
u:,1/770604,11101111100001110110
um,1/770604,11101111100001110111
ur,2/770604,1110111110000111100
us,1/770604,11101111100001111010
ut,1/770604,11101111100001111011
u’,2/770604,1110111110000111110
vi,1/770604,11101111100001111110
y.,1/770604,11101111100001111111
y/,1/770604,11101111100010000000
 «,1/770604,11101111100010000001
 Ц,1/770604,11101111100010000010
 Щ,1/770604,11101111100010000011
ya,4/770604,111011111000100001
 Л,4/770604,111011111000100010
 л,2/770604,1110111110001000110
 п,1/770604,11101111100010001110
 т,1/770604,11101111100010001111
 …,1/770604,11101111100010010000
«<,1/770604,11101111100010010001
«Ж,1/770604,11101111100010010010
«Щ,1/770604,11101111100010010011
«Л,4/770604,111011111000100101
«У,2/770604,1110111110001001100
«Ш,2/770604,1110111110001001101
«б,2/770604,1110111110001001110
«г,1/770604,11101111100010011110
«ж,1/770604,11101111100010011111
«Г,16/770604,1110111110001010
«л,1/770604,11101111100010110000
«у,1/770604,11101111100010110001
«о,2/770604,1110111110001011001
«х,4/770604,111011111000101101
«ю,1/770604,11101111100010111000
«…,1/770604,11101111100010111001
»?,2/770604,1110111110001011101
»[,1/770604,11101111100010111100
А?,1/770604,11101111100010111101
Аб,2/770604,1110111110001011111
«К,32/770604,111011111000110
«С,32/770604,111011111000111
Ад,4/770604,111011111001000000
Аз,2/770604,1110111110010000010
Ам,2/770604,1110111110010000011
Ар,2/770604,1110111110010000100
Би,1/770604,11101111100100001010
ВТ,1/770604,11101111100100001011
Бь,2/770604,1110111110010000110
ВЫ,1/770604,11101111100100001110
Вб,1/770604,11101111100100001111
Бу,16/770604,1110111110010001
Вв,1/770604,11101111100100100000
Вл,1/770604,11101111100100100001
Вм,1/770604,11101111100100100010
Вч,1/770604,11101111100100100011
Въ,2/770604,1110111110010010010
Вя,1/770604,11101111100100100110
Ди,1/770604,11101111100100100111
Га,4/770604,111011111001001010
Гн,2/770604,1110111110010010110
Дн,1/770604,11101111100100101110
"Е
",1/770604,11101111100100101111
Гу,16/770604,1110111110010011
Ды,2/770604,1110111110010100000
ЕН,1/770604,11101111100101000010
ЕР,1/770604,11101111100101000011
Ев,4/770604,111011111001010001
Ед,8/770604,11101111100101001
Еж,1/770604,11101111100101010000
Ех,1/770604,11101111100101010001
ЖЕ,1/770604,11101111100101010010
Жу,1/770604,11101111100101010011
Жа,4/770604,111011111001010101
Зо,4/770604,111011111001010110
ИЕ,1/770604,11101111100101011100
ИЛ,1/770604,11101111100101011101
Их,1/770604,11101111100101011110
ЛО,1/770604,11101111100101011111
Иб,4/770604,111011111001011000
Иш,2/770604,1110111110010110010
"Й
",2/770604,1110111110010110011
Кл,4/770604,111011111001011010
Ла,4/770604,111011111001011011
Кн,8/770604,11101111100101110
Лу,8/770604,11101111100101111
Ля,1/770604,11101111100110000000
НИ,1/770604,11101111100110000001
М ,2/770604,1110111110011000001
Ны,1/770604,11101111100110000100
ОЖ,1/770604,11101111100110000101
ОЙ,1/770604,11101111100110000110
ОР,1/770604,11101111100110000111
ОМ,2/770604,1110111110011000100
Ов,1/770604,11101111100110001010
Оз,1/770604,11101111100110001011
Ог,2/770604,1110111110011000110
Оп,2/770604,1110111110011000111
Ой,4/770604,111011111001100100
Оф,1/770604,11101111100110010100
ПЕ,1/770604,11101111100110010101
П.,2/770604,1110111110011001011
ПР,1/770604,11101111100110011000
РВ,1/770604,11101111100110011001
Пб,2/770604,1110111110011001101
Пь,2/770604,1110111110011001110
РИ,1/770604,11101111100110011110
РО,1/770604,11101111100110011111
Ри,2/770604,1110111110011010000
Ры,2/770604,1110111110011010001
С ,2/770604,1110111110011010010
СП,2/770604,1110111110011010011
Ср,1/770604,11101111100110101000
Сх,1/770604,11101111100110101001
Съ,2/770604,1110111110011010101
Сы,4/770604,111011111001101011
Сю,4/770604,111011111001101100
Ти,1/770604,11101111100110110100
"У,",1/770604,11101111100110110101
Ть,2/770604,1110111110011011011
Тя,2/770604,1110111110011011100
Уб,2/770604,1110111110011011101
Уг,1/770604,11101111100110111100
Уд,1/770604,11101111100110111101
Ух,2/770604,1110111110011011111
Ми,64/770604,11101111100111
Фр,8/770604,11101111101000000
Фу,2/770604,1110111110100000100
Хи,1/770604,11101111101000001010
Хм,1/770604,11101111101000001011
Ца,1/770604,11101111101000001100
Ци,1/770604,11101111101000001101
Цы,1/770604,11101111101000001110
Чл,1/770604,11101111101000001111
Чр,2/770604,1110111110100001000
Чь,1/770604,11101111101000010010
Ши,1/770604,11101111101000010011
Шк,1/770604,11101111101000010100
Шп,1/770604,11101111101000010101
Щи,2/770604,1110111110100001011
Шу,4/770604,111011111010000110
Щу,1/770604,11101111101000011100
ЫЙ,1/770604,11101111101000011101
"Э,",2/770604,1110111110100001111
Эг,1/770604,11101111101000100000
Эд,1/770604,11101111101000100001
Эм,1/770604,11101111101000100010
Юн,1/770604,11101111101000100011
Юз,2/770604,1110111110100010010
Я-,1/770604,11101111101000100110
Я?,1/770604,11101111101000100111
Яв,2/770604,1110111110100010100
Як,1/770604,11101111101000101010
Яс,1/770604,11101111101000101011
а),4/770604,111011111010001011
"Я,",16/770604,1110111110100011
Яр,8/770604,11101111101001000
а<,1/770604,11101111101001001000
а[,1/770604,11101111101001001001
б!,1/770604,11101111101001001010
б:,1/770604,11101111101001001011
а>,4/770604,111011111010010011
б-,2/770604,1110111110100101000
б;,1/770604,11101111101001010010
б»,1/770604,11101111101001010011
б“,1/770604,11101111101001010100
б…,1/770604,11101111101001010101
в<,1/770604,11101111101001010110
вг,1/770604,11101111101001010111
бц,8/770604,11101111101001011
бд,32/770604,111011111010011
в>,8/770604,11101111101010000
в»,4/770604,111011111010100010
вб,4/770604,111011111010100011
въ,8/770604,11101111101010010
вэ,1/770604,11101111101010011000
вю,1/770604,11101111101010011001
в“,2/770604,1110111110101001101
г:,4/770604,111011111010100111
г;,4/770604,111011111010101000
г?,1/770604,11101111101010100100
д),1/770604,11101111101010100101
гт,2/770604,1110111110101010011
гб,4/770604,111011111010101010
г…,2/770604,1110111110101010110
д-,2/770604,1110111110101010111
д:,4/770604,111011111010101100
д<,1/770604,11101111101010110100
д[,1/770604,11101111101010110101
д…,1/770604,11101111101010110110
е&,1/770604,11101111101010110111
д;,8/770604,11101111101010111
дж,4/770604,111011111010110000
"е
",2/770604,1110111110101100010
е),2/770604,1110111110101100011
е<,1/770604,11101111101011001000
е],1/770604,11101111101011001001
е[,2/770604,1110111110101100101
е ,1/770604,11101111101011001100
е“,1/770604,11101111101011001101
ж:,1/770604,11101111101011001110
ж;,1/770604,11101111101011001111
еф,4/770604,111011111010110100
ж»,1/770604,11101111101011010100
жр,1/770604,11101111101011010101
ж…,1/770604,11101111101011010110
з>,1/770604,11101111101011010111
з!,2/770604,1110111110101101100
з:,2/770604,1110111110101101101
з;,2/770604,1110111110101101110
з?,1/770604,11101111101011011110
и&,1/770604,11101111101011011111
зю,4/770604,111011111010111000
и),4/770604,111011111010111001
и ,1/770604,11101111101011101000
иэ,1/770604,11101111101011101001
и“,2/770604,1110111110101110101
й),2/770604,1110111110101110110
й[,1/770604,11101111101011101110
йо,1/770604,11101111101011101111
йп,2/770604,1110111110101111000
йх,1/770604,11101111101011110010
кз,1/770604,11101111101011110011
кх,1/770604,11101111101011110100
нм,1/770604,11101111101011110101
к“,2/770604,1110111110101111011
кш,4/770604,111011111010111110
л>,4/770604,111011111010111111
и»,32/770604,111011111011000
к?,32/770604,111011111011001
к…,8/770604,11101111101101000
лц,2/770604,1110111110110100100
м),2/770604,1110111110110100101
мз,2/770604,1110111110110100110
мт,2/770604,1110111110110100111
л;,16/770604,1110111110110101
м?,32/770604,111011111011011
мф,4/770604,111011111011100000
мш,2/770604,1110111110111000010
м“,2/770604,1110111110111000011
нл,2/770604,1110111110111000100
нх,1/770604,11101111101110001010
н“,1/770604,11101111101110001011
нш,4/770604,111011111011100011
м…,16/770604,1110111110111001
о),2/770604,1110111110111010000
о<,1/770604,11101111101110100010
о],1/770604,11101111101110100011
оа,1/770604,11101111101110100100
п»,1/770604,11101111101110100101
о“,2/770604,1110111110111010011
п!,2/770604,1110111110111010100
пх,1/770604,11101111101110101010
р>,1/770604,11101111101110101011
р»,4/770604,111011111011101011
пп,16/770604,1110111110111011
р-,8/770604,11101111101111000
р?,8/770604,11101111101111001
р…,2/770604,1110111110111101000
с),1/770604,11101111101111010010
с>,1/770604,11101111101111010011
с;,2/770604,1110111110111101010
с ,2/770604,1110111110111101011
с?,8/770604,11101111101111011
с»,2/770604,1110111110111110000
сф,2/770604,1110111110111110001
сж,4/770604,111011111011111001
с…,2/770604,1110111110111110100
"т
",1/770604,11101111101111101010
у),1/770604,11101111101111101011
тё,2/770604,1110111110111110110
т“,2/770604,1110111110111110111
т>,8/770604,11101111101111110
у[,1/770604,11101111101111111000
"ф,",1/770604,11101111101111111001
уц,2/770604,1110111110111111101
уи,4/770604,111011111011111111
рю,128/770604,1110111111000
уэ,2/770604,1110111111001000000
у“,2/770604,1110111111001000001
ф-,1/770604,11101111110010000100
фн,1/770604,11101111110010000101
фм,2/770604,1110111111001000011
фч,2/770604,1110111111001000100
хг,1/770604,11101111110010001010
хд,1/770604,11101111110010001011
х»,4/770604,111011111100100011
хп,1/770604,11101111110010010000
хч,1/770604,11101111110010010001
хъ,1/770604,11101111110010010010
хэ,1/770604,11101111110010010011
х“,2/770604,1110111111001001010
ц-,2/770604,1110111111001001011
хш,8/770604,11101111110010011
уя,32/770604,111011111100101
х…,8/770604,11101111110011000
ц:,4/770604,111011111100110010
ц»,1/770604,11101111110011001100
ц…,1/770604,11101111110011001101
цц,2/770604,1110111111001100111
ч:,2/770604,1110111111001101000
ч>,1/770604,11101111110011010010
ш:,1/770604,11101111110011010011
ч;,4/770604,111011111100110101
ч»,4/770604,111011111100110110
чв,4/770604,111011111100110111
чё,4/770604,111011111100111000
ч…,2/770604,1110111111001110010
ш;,1/770604,11101111110011100110
шр,1/770604,11101111110011100111
ш!,4/770604,111011111100111010
шц,4/770604,111011111100111011
шё,1/770604,11101111110011110000
що,1/770604,11101111110011110001
ъ ,2/770604,1110111111001111001
"щ,",4/770604,111011111100111101
"ъ,",1/770604,11101111110011111000
ъ.,1/770604,11101111110011111001
ъю,2/770604,1110111111001111101
ы&,1/770604,11101111110011111100
ы[,1/770604,11101111110011111101
ы ,1/770604,11101111110011111110
ьф,1/770604,11101111110011111111
ыр,257/770604,111011111101
"л,",515/770604,11101111111
ре,4102/770604,11110000
ту,1032/770604,1111000100
ь[,2/770604,1111000101000000000
э ,1/770604,11110001010000000010
э!,1/770604,11110001010000000011
ьщ,4/770604,111100010100000001
ь“,4/770604,111100010100000010
э:,1/770604,11110001010000001100
ю),1/770604,11110001010000001101
эф,2/770604,1111000101000000111
эс,4/770604,111100010100000100
эх,4/770604,111100010100000101
ю>,1/770604,11110001010000011000
ю[,1/770604,11110001010000011001
юе,2/770604,1111000101000001101
юз,2/770604,1111000101000001110
юп,1/770604,11110001010000011110
я&,1/770604,11110001010000011111
юц,4/770604,111100010100001000
ю“,4/770604,111100010100001001
я),1/770604,11110001010000101000
я<,1/770604,11110001010000101001
я[,1/770604,11110001010000101010
яо,1/770604,11110001010000101011
ё-,1/770604,11110001010000101100
ёг,1/770604,11110001010000101101
ёл,2/770604,1111000101000010111
ём,1/770604,11110001010000110000
ёх,1/770604,11110001010000110001
ё…,1/770604,11110001010000110010
“;,1/770604,11110001010000110011
ёр,4/770604,111100010100001101
’o,2/770604,1111000101000011100
„Б,1/770604,11110001010000111010
„В,1/770604,11110001010000111011
„Г,2/770604,1111000101000011110
„Д,2/770604,1111000101000011111
"…
",64/770604,11110001010001
 Э,129/770604,1111000101001
Чт,129/770604,1111000101010
ун,129/770604,1111000101011
рн,517/770604,11110001011
ег,2071/770604,111100011
 ч,4142/770604,11110010
жи,1034/770604,1111001100
ад,1040/770604,1111001101
-с,65/770604,11110011100000
аи,65/770604,11110011100001
Вс,130/770604,1111001110001
"?
",260/770604,111100111001
е!,130/770604,1111001110100
м:,65/770604,11110011101010
м;,65/770604,11110011101011
фе,65/770604,11110011101100
хе,65/770604,11110011101101
сю,131/770604,1111001110111
 «,522/770604,11110011110
! ,262/770604,111100111110
ын,131/770604,1111001111110
ьт,131/770604,1111001111111
", ",16826/770604,111101
ты,1048/770604,1111100000
Ко,263/770604,111110000100
зы,263/770604,111110000101
ех,526/770604,11111000011
вс,2104/770604,111110001
щи,527/770604,11111001000
„И,2/770604,1111100100100000000
„К,2/770604,1111100100100000001
„М,1/770604,11111001001000000100
„У,1/770604,11111001001000000101
„О,2/770604,1111100100100000011
„П,4/770604,111110010010000010
„Т,4/770604,111110010010000011
„Х,2/770604,1111100100100001000
„Э,1/770604,11111001001000010010
„Я,1/770604,11111001001000010011
„в,1/770604,11111001001000010100
„д,1/770604,11111001001000010101
„з,2/770604,1111100100100001011
„н,1/770604,11111001001000011000
„ч,1/770604,11111001001000011001
„ш,1/770604,11111001001000011010
….,1/770604,11111001001000011011
…в,1/770604,11111001001000011100
…х,1/770604,11111001001000011101
…ч,1/770604,11111001001000011110
……,1/770604,11111001001000011111
 М,33/770604,111110010010001
-к,66/770604,11111001001001
«Н,66/770604,11111001001010
бв,33/770604,111110010010110
зс,33/770604,111110010010111
Па,132/770604,1111100100110
йч,33/770604,111110010011100
р.,33/770604,111110010011101
ш ,66/770604,11111001001111
ый,1054/770604,1111100101
ви,2123/770604,111110011
ге,264/770604,111110100000
фи,132/770604,1111101000010
 У,133/770604,1111101000011
уб,531/770604,11111010001
ют,265/770604,111110100100
» ,266/770604,111110100101
ою,532/770604,11111010011
ми,2129/770604,111110101
ор,4265/770604,11111011
"я,",1065/770604,1111110000
еж,534/770604,11111100010
цо,133/770604,1111110001100
юр,66/770604,11111100011010
ау,67/770604,11111100011011
Пл,134/770604,1111110001110
йш,134/770604,1111110001111
еб,1070/770604,1111110010
е.,535/770604,11111100110
кс,67/770604,11111100111000
ь-,33/770604,111111001110010
"
А",17/770604,1111110011100110
 Ш,17/770604,1111110011100111
о:,134/770604,1111110011101
цу,134/770604,1111110011110
ю-,67/770604,11111100111110
"
«",68/770604,11111100111111
ос,4280/770604,11111101
др,1076/770604,1111111000
бр,1082/770604,1111111001
х ,2168/770604,111111101
нк,269/770604,111111110000
 Р,135/770604,1111111100010
 Я,135/770604,1111111100011
ио,135/770604,1111111100100
"
Г",34/770604,111111110010100
-и,17/770604,1111111100101010
 Х,17/770604,1111111100101011
 З,34/770604,111111110010110
«В,34/770604,111111110010111
 В,136/770604,1111111100110
Бо,34/770604,111111110011100
"И,",17/770604,1111111100111010
К ,17/770604,1111111100111011
Мы,17/770604,1111111100111100
Ре,17/770604,1111111100111101
вх,17/770604,1111111100111110
жс,17/770604,1111111100111111
А ,272/770604,111111110100
За,136/770604,1111111101010
Сл,68/770604,11111111010110
е»,34/770604,111111110101110
сц,17/770604,1111111101011110
фу,17/770604,1111111101011111
"в,",545/770604,11111111011
ед,2181/770604,111111111
